Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request1,7,444,380,501,733,733,352,733,0.000%,.00243,0.21,0.00
HTTP Request2,7,625,644,662,766,766,505,766,0.000%,.00243,0.21,0.00
HTTP Request3,4,438,368,512,512,512,368,512,0.000%,.02797,2.44,0.01
HTTP Request4,4,435,373,499,499,499,372,499,0.000%,.02797,2.44,0.01
Transaction Controller,4,873,867,885,885,885,865,885,0.000%,.02789,4.88,0.01
TOTAL,26,556,505,865,878,885,352,885,0.000%,.00902,0.91,0.00
